user_id,tweet_id,text,like_count,retweet_count
14302386,1017054795214020609,"Scala is the best way to write scalable, resilient and maintainable software on the JVM (primarily). Its type syste… https://t.co/D19UvQ9vL2",429,140
3241576024,1184506071374798848,"I'm happy to announce the publishing of my work-in-progress #Scala #FP book!

I'd love to hear your feedback. I nee… https://t.co/UcBF70AahG",422,187
474974342,969239295658807298,"Concurrent lock-free hash tries, previously known as Ctries, now run in constant asymptotic time, instead of logari… https://t.co/7hFDxmxyPf",419,151
15406736,1163725797418577920,"I'm super excited for #Scala 3 b/c it: 

- cleans up macros
- simplifies implicits
- makes typeclasses natural
- ad… https://t.co/56uwrPHuKQ",417,104
1221300014,1075336111076061184,"👩‍🎓👨‍🎓New MOOC: Programming Reactive Systems ➡️ how to use Akka, Akka Typed and Akka Streams to implement reactive… https://t.co/GV2kqKWVva",417,199
17765013,1138716201058807808,"For its 10th year anniversary, Scala Days is back in Lausanne at EPFL. Here are my slides from the opening talk. https://t.co/OQxizYXM2h",413,156
22874473,1073352445382811648,"Haha, ok, the game is won. We officially have the coolest PhD students at @isrcmu @SCSatCMU. 

They made Magic The… https://t.co/DnvxQl8S10",413,32
410854648,1099513360171753472,"I'm sorry the Scala and Typelevel communities aren't everything everyone wants them to be, but I'm expending a lot… https://t.co/njhJQlUnZm",407,40
1221300014,1003639318836105217,"New tool! 🎉
scalac-profiling

Learn what's slowing down compilation in your project, and remove it! Speed up all th… https://t.co/4PZHM5kf2Q",402,214
15594928,1197256737721466881,Today is really scary. But it helps so much that there are so many people that care so thank you for all of your su… https://t.co/wcBXT0M56g,398,0
3438871047,1232281352294322176,"#Scala.js 1.0.0 is finally here! We are thrilled to release it to the world. Simpler, better, faster! https://t.co/c6H0AXVsCw",397,206
22874473,1072669435998150656,"Are there internships for professors? There effing should be.

I'm only one semester 100% *in* academia, and I feel… https://t.co/MVSe0Xzha5",390,58
455142411,1071079767401742336,"Metals v0.3 is out with simple installation, accurate diagnostics and goto definition 🎉 Works with VS Code, Atom, v… https://t.co/mJfq5eVM03",387,161
17765013,997059263309795328,"Having a great time at #ScalaDays. Lots of good discussions about the move to Scala-3, and a very positive vibe.… https://t.co/Ea31JmzhpJ",385,145
17765013,880139261785366528,Big announcement: IBM and Lightbend partner on Scala-based reactive platform for AI and cognitive development. https://t.co/ZxJnL0czBN,382,251
455142411,1116726045422563328,"Metals v0.5 is out with a lot of exciting new features! 🚀

- Code completions
- Hover (type at point)
- Signature h… https://t.co/lzU7O2wJcj",381,147
15406736,1075057680191025152,You can't call yourself a programmer if you don't have a couple of programming books in your bookshelf that you'll never read 🙂,381,83
170718652,1222561662705831937,"Does anyone else seem to spend 50x more time deleting characters like "", } and ) which their IDE inserts automatica… https://t.co/0StOFIrw1d",379,27
22874473,1174081877843599360,"Oh hey, our Functional Programming in Scala MOOC is one of the top 20 Computer Science MOOCs of all time! 😱
Totally… https://t.co/1dg7z4wEJL",367,70
22874473,1040919859037700096,"Just a reminder:
Programming is hard. Experts also throw away what they've done to start over. Often. It's normal.… https://t.co/B3PzKgCAkO",367,123
17765013,806591731722493952,"New blog post on implicit function types: https://t.co/dZBon5XsHf.
For me, it's the most important feature to come to Scala in a long time.",366,269
17765013,794278478002712576,Scala 2.12 is out! Impressive reduction in code size due to its use of lambdas and default methods.,365,300
